From\To,ALG-001,ALG-002,ALG-003,ALG-004,ALG-005,ALG-006,ALG-007,ALG-008,ALG-009,ALG-010,ALG-011,ALG-012,ALG-013,ALG-014,ALG-015,ALG-016
ALG-001,"0.00000000 / 1.0000","0.00029089 / 11818102.9414","0.00058178 / 2954525.7993","0.00087266 / 1313122.6233","0.00116355 / 738631.5121","0.00145444 / 687.5494","0.00174533 / 572.9579","0.00203622 / 0.0000","0.00232711 / 0.0000","0.00261799 / 12.5641","0.00290888 / 343.7748","0.00319977 / 97670.3549","0.00349066 / 82070.2421","0.00378154 / 69929.6861","0.00407243 / 0.9959","0.00436332 / 52524.9849"
ALG-002,"0.00029089 / 0.9997","0.00000000 / 1.0000","0.00029089 / 11818102.9414","0.00058178 / 2954525.7993","0.00087266 / 1313122.6233","0.00116355 / 859.4367","0.00145444 / 687.5494","0.00174533 / 0.0000","0.00203622 / 0.0000","0.00232711 / 12.5646","0.00261799 / 381.9720","0.00290888 / 118181.1119","0.00319977 / 97670.3549","0.00349066 / 82070.2421","0.00378154 / 0.9962","0.00407243 / 60296.5265"
ALG-003,"0.00058178 / 0.9994","0.00029089 / 11818102.9414","0.00000000 / 1.0000","0.00029089 / 11818102.9414","0.00058178 / 2954525.7993","0.00087266 / 1145.9156","0.00116355 / 859.4367","0.00145444 / 0.0000","0.00174533 / 0.0000","0.00203622 / 12.5650","0.00232711 / 429.7184","0.00261799 / 145902.5878","0.00290888 / 118181.1119","0.00319977 / 97670.3549","0.00349066 / 0.9965","0.00378154 / 69929.6861"
ALG-004,"0.00087266 / 0.9991","0.00058178 / 2954525.7993","0.00029089 / 11818102.9414","0.00000000 / 1.0000","0.00029089 / 11818102.9414","0.00058178 / 1718.8734","0.00087266 / 1145.9156","0.00116355 / 0.0000","0.00145444 / 0.0000","0.00174533 / 12.5654","0.00203622 / 491.1068","0.00232711 / 184657.9405","0.00261799 / 145902.5878","0.00290888 / 118181.1119","0.00319977 / 0.9968","0.00349066 / 82070.2421"
ALG-005,"0.00116355 / 0.9988","0.00087266 / 1313122.6233","0.00058178 / 2954525.7993","0.00029089 / 11818102.9414","0.00000000 / 1.0000","0.00029089 / 3437.7468","0.00058178 / 1718.8734","0.00087266 / 0.0000","0.00116355 / 0.0000","0.00145444 / 12.5657","0.00174533 / 572.9579","0.00203622 / 241185.8560","0.00232711 / 184657.9405","0.00261799 / 145902.5878","0.00290888 / 0.9971","0.00319977 / 97670.3549"
ALG-006,"0.00145444 / 0.9985","0.00116355 / 738631.5121","0.00087266 / 1313122.6233","0.00058178 / 2954525.7993","0.00029089 / 11818102.9414","0.00000000 / 1.0000","0.00029089 / 3437.7468","0.00058178 / 0.0000","0.00087266 / 0.0000","0.00116355 / 12.5659","0.00145444 / 687.5494","0.00174533 / 328280.7183","0.00203622 / 241185.8560","0.00232711 / 184657.9405","0.00261799 / 0.9974","0.00290888 / 118181.1119"
ALG-007,"0.00174533 / 0.9983","0.00145444 / 472724.1977","0.00116355 / 738631.5121","0.00087266 / 1313122.6233","0.00058178 / 2954525.7993","0.00029089 / 3437.7468","0.00000000 / 1.0000","0.00029089 / 0.0000","0.00058178 / 0.0000","0.00087266 / 12.5661","0.00116355 / 859.4367","0.00145444 / 472724.1977","0.00174533 / 328280.7183","0.00203622 / 241185.8560","0.00232711 / 0.9977","0.00261799 / 145902.5878"
ALG-008,"0.00203622 / 0.9980","0.00174533 / 328280.7183","0.00145444 / 472724.1977","0.00116355 / 738631.5121","0.00087266 / 1313122.6233","0.00058178 / 1718.8734","0.00029089 / 3437.7468","0.00000000 / 1.0000","0.00029089 / 0.0000","0.00058178 / 12.5663","0.00087266 / 1145.9156","0.00116355 / 738631.5121","0.00145444 / 472724.1977","0.00174533 / 328280.7183","0.00203622 / 0.9980","0.00232711 / 184657.9405"
ALG-009,"0.00232711 / 0.9977","0.00203622 / 241185.8560","0.00174533 / 328280.7183","0.00145444 / 472724.1977","0.00116355 / 738631.5121","0.00087266 / 1145.9156","0.00058178 / 1718.8734","0.00029089 / 0.0000","0.00000000 / 1.0000","0.00029089 / 12.5663","0.00058178 / 1718.8734","0.00087266 / 1313122.6233","0.00116355 / 738631.5121","0.00145444 / 472724.1977","0.00174533 / 0.9983","0.00203622 / 241185.8560"
ALG-010,"0.00261799 / 0.9974","0.00232711 / 184657.9405","0.00203622 / 241185.8560","0.00174533 / 328280.7183","0.00145444 / 472724.1977","0.00116355 / 859.4367","0.00087266 / 1145.9156","0.00058178 / 0.0000","0.00029089 / 0.0000","0.00000000 / 1.0000","0.00029089 / 3437.7468","0.00058178 / 2954525.7993","0.00087266 / 1313122.6233","0.00116355 / 738631.5121","0.00145444 / 0.9985","0.00174533 / 328280.7183"
ALG-011,"0.00290888 / 0.9971","0.00261799 / 145902.5878","0.00232711 / 184657.9405","0.00203622 / 241185.8560","0.00174533 / 328280.7183","0.00145444 / 687.5494","0.00116355 / 859.4367","0.00087266 / 0.0000","0.00058178 / 0.0000","0.00029089 / 12.5663","0.00000000 / 1.0000","0.00029089 / 11818102.9414","0.00058178 / 2954525.7993","0.00087266 / 1313122.6233","0.00116355 / 0.9988","0.00145444 / 472724.1977"
ALG-012,"0.00319977 / 0.9968","0.00290888 / 118181.1119","0.00261799 / 145902.5878","0.00232711 / 184657.9405","0.00203622 / 241185.8560","0.00174533 / 572.9579","0.00145444 / 687.5494","0.00116355 / 0.0000","0.00087266 / 0.0000","0.00058178 / 12.5663","0.00029089 / 3437.7468","0.00000000 / 1.0000","0.00029089 / 11818102.9414","0.00058178 / 2954525.7993","0.00087266 / 0.9991","0.00116355 / 738631.5121"
ALG-013,"0.00349066 / 0.9965","0.00319977 / 97670.3549","0.00290888 / 118181.1119","0.00261799 / 145902.5878","0.00232711 / 184657.9405","0.00203622 / 491.1068","0.00174533 / 572.9579","0.00145444 / 0.0000","0.00116355 / 0.0000","0.00087266 / 12.5661","0.00058178 / 1718.8734","0.00029089 / 11818102.9414","0.00000000 / 1.0000","0.00029089 / 11818102.9414","0.00058178 / 0.9994","0.00087266 / 1313122.6233"
ALG-014,"0.00378154 / 0.9962","0.00349066 / 82070.2421","0.00319977 / 97670.3549","0.00290888 / 118181.1119","0.00261799 / 145902.5878","0.00232711 / 429.7184","0.00203622 / 491.1068","0.00174533 / 0.0000","0.00145444 / 0.0000","0.00116355 / 12.5659","0.00087266 / 1145.9156","0.00058178 / 2954525.7993","0.00029089 / 11818102.9414","0.00000000 / 1.0000","0.00029089 / 0.9997","0.00058178 / 2954525.7993"
ALG-015,"0.00407243 / 0.9959","0.00378154 / 69929.6861","0.00349066 / 82070.2421","0.00319977 / 97670.3549","0.00290888 / 118181.1119","0.00261799 / 381.9720","0.00232711 / 429.7184","0.00203622 / 0.0000","0.00174533 / 0.0000","0.00145444 / 12.5657","0.00116355 / 859.4367","0.00087266 / 1313122.6233","0.00058178 / 2954525.7993","0.00029089 / 11818102.9414","0.00000000 / 1.0000","0.00029089 / 11818102.9414"
ALG-016,"0.00436332 / 0.9956","0.00407243 / 60296.5265","0.00378154 / 69929.6861","0.00349066 / 82070.2421","0.00319977 / 97670.3549","0.00290888 / 343.7748","0.00261799 / 381.9720","0.00232711 / 0.0000","0.00203622 / 0.0000","0.00174533 / 12.5654","0.00145444 / 687.5494","0.00116355 / 738631.5121","0.00087266 / 1313122.6233","0.00058178 / 2954525.7993","0.00029089 / 0.9997","0.00000000 / 1.0000"
